Wavelength,Intensity
179.4961287,1333.227656
179.71164,1458.15375
179.9271431,1400.810625
180.1426378,1486.825313
180.3581242,1476.585469
180.5736022,1449.961875
180.7890719,1372.139063
181.0045333,1423.338281
181.2199864,1449.961875
181.435431,1535.976563
181.6508674,1376.235
181.8662954,1462.249688
182.081715,1470.441563
182.2971263,1443.817969
182.5125293,1427.434219
182.7279238,1468.393594
182.94331,1466.345625
183.1586879,1413.098438
183.3740574,1458.15375
183.5894185,1478.633438
183.8047712,1447.913906
184.0201156,1507.305
184.2354516,1468.393594
184.4507792,1374.187031
184.6660984,1380.330938
184.8814092,1447.913906
185.0967117,1449.961875
185.3120057,1474.5375
185.5272914,1464.297656
185.7425687,1439.722031
185.9578375,1488.873281
186.173098,1427.434219
186.38835,1482.729375
186.6035937,1376.235
186.818829,1472.489531
187.0340558,1478.633438
187.2492742,1417.194375
187.4644842,1435.626094
187.6796858,1433.578125
187.894879,1437.674063
188.1100637,1441.77
188.32524,1454.057813
188.5404079,1521.640781
188.7555673,1409.0025
188.9707183,1402.858594
189.1858609,1411.050469
189.4009951,1380.330938
189.6161207,1478.633438
189.831238,1478.633438
190.0463468,1404.906563
190.2614471,1421.290313
190.476539,1454.057813
190.6916225,1404.906563
190.9066974,1468.393594
191.1217639,1437.674063
191.336822,1488.873281
191.5518716,1353.707344
191.7669127,1437.674063
191.9819453,1505.257031
192.1969695,1509.352969
192.4119852,1435.626094
192.6269924,1398.762656
192.8419911,1525.736719
193.0569814,1458.15375
193.2719631,1445.865938
193.4869364,1429.482188
193.7019012,1409.0025
193.9168575,1439.722031
194.1318052,1513.448906
194.3467445,1411.050469
194.5616753,1433.578125
194.7765976,1425.38625
194.9915113,1425.38625
195.2064166,1476.585469
195.4213133,1447.913906
195.6362015,1398.762656
195.8510812,1492.969219
196.0659524,1509.352969
196.2808151,1361.899219
196.4956692,1413.098438
196.7105148,1464.297656
196.9253519,1431.530156
197.1401804,1456.105781
197.3550004,1445.865938
197.5698118,1427.434219
197.7846147,1449.961875
197.9994091,1456.105781
198.2141949,1535.976563
198.4289722,1540.0725
198.6437409,1488.873281
198.8585011,1544.168438
199.0732527,1406.954531
199.2879957,1458.15375
199.5027302,1380.330938
199.7174561,1437.674063
199.9321734,1505.257031
200.1468822,1435.626094
200.3615824,1429.482188
200.576274,1415.146406
200.7909571,1431.530156
201.0056315,1415.146406
201.2202974,1429.482188
201.4349547,1417.194375
201.6496034,1492.969219
201.8642435,1423.338281
202.078875,1380.330938
202.2934979,1472.489531
202.5081122,1531.880625
202.722718,1435.626094
202.9373151,1452.009844
203.1519036,1429.482188
203.3664834,1531.880625
203.5810547,1427.434219
203.7956174,1413.098438
204.0101714,1478.633438
204.2247168,1415.146406
204.4392536,1382.378906
204.6537818,1495.017188
204.8683013,1427.434219
205.0828122,1449.961875
205.2973145,1429.482188
205.5118082,1488.873281
205.7262932,1529.832656
205.9407695,1480.681406
206.1552372,1447.913906
206.3696963,1400.810625
206.5841467,1462.249688
206.7985885,1470.441563
207.0130216,1413.098438
207.227446,1404.906563
207.4418618,1488.873281
207.6562689,1452.009844
207.8706674,1406.954531
208.0850572,1452.009844
208.2994383,1382.378906
208.5138108,1427.434219
208.7281745,1478.633438
208.9425296,1480.681406
209.156876,1384.426875
209.3712138,1445.865938
209.5855428,1484.777344
209.7998632,1413.098438
210.0141748,1564.648125
210.2284778,1476.585469
210.4427721,1384.426875
210.6570576,1458.15375
210.8713345,1404.906563
211.0856027,1406.954531
211.2998621,1470.441563
211.5141129,1474.5375
211.7283549,1425.38625
211.9425882,1417.194375
212.1568128,1458.15375
212.3710287,1472.489531
212.5852359,1433.578125
212.7994343,1476.585469
213.013624,1519.592813
213.227805,1433.578125
213.4419772,1572.84
213.6561407,1484.777344
213.8702955,1462.249688
214.0844415,1521.640781
214.2985788,1443.817969
214.5127073,1415.146406
214.7268271,1343.4675
214.9409381,1431.530156
215.1550404,1394.666719
215.3691339,1429.482188
215.5832187,1411.050469
215.7972947,1497.065156
216.0113619,1488.873281
216.2254204,1478.633438
216.4394701,1417.194375
216.653511,1478.633438
216.8675432,1472.489531
217.0815665,1427.434219
217.2955811,1480.681406
217.5095869,1435.626094
217.7235839,1406.954531
217.9375722,1482.729375
218.1515516,1462.249688
218.3655223,1398.762656
218.5794841,1423.338281
218.7934372,1460.201719
219.0073814,1480.681406
219.2213169,1452.009844
219.4352435,1443.817969
219.6491613,1425.38625
219.8630703,1460.201719
220.0769705,1529.832656
220.2908619,1437.674063
220.5047445,1454.057813
220.7186182,1433.578125
220.9324832,1425.38625
221.1463392,1398.762656
221.3601865,1499.113125
221.5740249,1413.098438
221.7878545,1511.400938
222.0016753,1441.77
222.2154872,1384.426875
222.4292903,1452.009844
222.6430845,1452.009844
222.8568699,1501.161094
223.0706464,1472.489531
223.2844141,1515.496875
223.4981729,1409.0025
223.7119228,1413.098438
223.9256639,1458.15375
224.1393961,1437.674063
224.3531195,1398.762656
224.566834,1497.065156
224.7805396,1523.68875
224.9942364,1529.832656
225.2079242,1460.201719
225.4216032,1470.441563
225.6352733,1439.722031
225.8489345,1468.393594
226.0625869,1507.305
226.2762303,1454.057813
226.4898649,1456.105781
226.7034905,1492.969219
226.9171073,1456.105781
227.1307151,1439.722031
227.3443141,1402.858594
227.5579041,1503.209063
227.7714852,1437.674063
227.9850575,1495.017188
228.1986208,1478.633438
228.4121752,1458.15375
228.6257206,1507.305
228.8392572,1441.77
229.0527848,1409.0025
229.2663035,1490.92125
229.4798133,1452.009844
229.6933141,1486.825313
229.906806,1427.434219
230.120289,1466.345625
230.333763,1431.530156
230.5472281,1435.626094
230.7606842,1478.633438
230.9741314,1425.38625
231.1875697,1519.592813
231.400999,1478.633438
231.6144193,1417.194375
231.8278307,1519.592813
232.0412331,1425.38625
232.2546265,1431.530156
232.468011,1492.969219
232.6813865,1472.489531
232.894753,1452.009844
233.1081106,1454.057813
233.3214592,1439.722031
233.5347988,1474.5375
233.7481294,1509.352969
233.9614511,1384.426875
234.1747637,1470.441563
234.3880674,1415.146406
234.6013621,1521.640781
234.8146477,1462.249688
235.0279244,1490.92125
235.2411921,1478.633438
235.4544508,1441.77
235.6677005,1462.249688
235.8809411,1419.242344
236.0941728,1466.345625
236.3073954,1439.722031
236.520609,1472.489531
236.7338136,1462.249688
236.9470092,1503.209063
237.1601958,1398.762656
237.3733733,1419.242344
237.5865418,1499.113125
237.7997013,1439.722031
238.0128517,1419.242344
238.2259931,1460.201719
238.4391255,1447.913906
238.6522488,1447.913906
238.8653631,1488.873281
239.0784683,1411.050469
239.2915645,1402.858594
239.5046516,1468.393594
239.7177297,1519.592813
239.9307987,1390.570781
240.1438586,1466.345625
240.3569095,1439.722031
240.5699513,1449.961875
240.7829841,1497.065156
240.9960078,1314.795938
241.2090224,1429.482188
241.4220279,1478.633438
241.6350243,1507.305
241.8480117,1476.585469
242.06099,1435.626094
242.2739592,1452.009844
242.4869193,1458.15375
242.6998703,1435.626094
242.9128123,1511.400938
243.1257451,1380.330938
243.3386688,1460.201719
243.5515834,1507.305
243.764489,1454.057813
243.9773854,1409.0025
244.1902727,1429.482188
244.4031509,1464.297656
244.6160199,1490.92125
244.8288799,1429.482188
245.0417307,1368.043125
245.2545724,1402.858594
245.467405,1523.68875
245.6802285,1527.784688
245.8930428,1413.098438
246.105848,1437.674063
246.3186441,1411.050469
246.531431,1368.043125
246.7442088,1417.194375
246.9569774,1423.338281
247.1697369,1470.441563
